#DDG, density
-5.00000 0.00000
-4.89933 0.00000
-4.79866 0.00000
-4.69799 0.00000
-4.59732 0.00000
-4.49664 0.00000
-4.39597 0.00000
-4.29530 0.00000
-4.19463 0.00001
-4.09396 0.00001
-3.99329 0.00002
-3.89262 0.00003
-3.79195 0.00005
-3.69128 0.00009
-3.59060 0.00014
-3.48993 0.00022
-3.38926 0.00033
-3.28859 0.00048
-3.18792 0.00070
-3.08725 0.00100
-2.98658 0.00139
-2.88591 0.00190
-2.78523 0.00257
-2.68456 0.00342
-2.58389 0.00449
-2.48322 0.00582
-2.38255 0.00747
-2.28188 0.00951
-2.18121 0.01199
-2.08054 0.01500
-1.97987 0.01864
-1.87919 0.02301
-1.77852 0.02825
-1.67785 0.03449
-1.57718 0.04189
-1.47651 0.05059
-1.37584 0.06075
-1.27517 0.07248
-1.17450 0.08589
-1.07383 0.10098
-0.97315 0.11773
-0.87248 0.13596
-0.77181 0.15545
-0.67114 0.17580
-0.57047 0.19655
-0.46980 0.21713
-0.36913 0.23688
-0.26846 0.25514
-0.16779 0.27124
-0.06711 0.28460
0.03356 0.29474
0.13423 0.30135
0.23490 0.30428
0.33557 0.30358
0.43624 0.29948
0.53691 0.29234
0.63758 0.28266
0.73826 0.27097
0.83893 0.25783
0.93960 0.24379
1.04027 0.22933
1.14094 0.21487
1.24161 0.20075
1.34228 0.18722
1.44295 0.17449
1.54362 0.16264
1.64430 0.15175
1.74497 0.14181
1.84564 0.13277
1.94631 0.12456
2.04698 0.11710
2.14765 0.11029
2.24832 0.10404
2.34899 0.09827
2.44966 0.09293
2.55034 0.08798
2.65101 0.08341
2.75168 0.07923
2.85235 0.07546
2.95302 0.07209
3.05369 0.06915
3.15436 0.06661
3.25503 0.06443
3.35570 0.06256
3.45638 0.06092
3.55705 0.05943
3.65772 0.05801
3.75839 0.05658
3.85906 0.05507
3.95973 0.05347
4.06040 0.05174
4.16107 0.04990
4.26174 0.04798
4.36242 0.04600
4.46309 0.04401
4.56376 0.04206
4.66443 0.04019
4.76510 0.03842
4.86577 0.03679
4.96644 0.03530
5.06711 0.03397
5.16779 0.03277
5.26846 0.03170
5.36913 0.03072
5.46980 0.02981
5.57047 0.02892
5.67114 0.02803
5.77181 0.02709
5.87248 0.02610
5.97315 0.02502
6.07383 0.02386
6.17450 0.02262
6.27517 0.02132
6.37584 0.01997
6.47651 0.01861
6.57718 0.01725
6.67785 0.01593
6.77852 0.01467
6.87919 0.01350
6.97987 0.01242
7.08054 0.01146
7.18121 0.01063
7.28188 0.00992
7.38255 0.00934
7.48322 0.00887
7.58389 0.00850
7.68456 0.00822
7.78523 0.00800
7.88591 0.00783
7.98658 0.00768
8.08725 0.00754
8.18792 0.00740
8.28859 0.00725
8.38926 0.00707
8.48993 0.00688
8.59060 0.00666
8.69128 0.00642
8.79195 0.00616
8.89262 0.00589
8.99329 0.00559
9.09396 0.00528
9.19463 0.00495
9.29530 0.00460
9.39597 0.00424
9.49664 0.00388
9.59732 0.00351
9.69799 0.00314
9.79866 0.00279
9.89933 0.00246
10.00000 0.00216
