#DDG, density
-5.00000 0.01347
-4.89933 0.01460
-4.79866 0.01581
-4.69799 0.01712
-4.59732 0.01852
-4.49664 0.02002
-4.39597 0.02164
-4.29530 0.02337
-4.19463 0.02522
-4.09396 0.02719
-3.99329 0.02930
-3.89262 0.03154
-3.79195 0.03393
-3.69128 0.03646
-3.59060 0.03915
-3.48993 0.04198
-3.38926 0.04497
-3.28859 0.04812
-3.18792 0.05143
-3.08725 0.05489
-2.98658 0.05850
-2.88591 0.06226
-2.78523 0.06616
-2.68456 0.07020
-2.58389 0.07437
-2.48322 0.07866
-2.38255 0.08305
-2.28188 0.08753
-2.18121 0.09209
-2.08054 0.09670
-1.97987 0.10135
-1.87919 0.10601
-1.77852 0.11067
-1.67785 0.11530
-1.57718 0.11987
-1.47651 0.12437
-1.37584 0.12875
-1.27517 0.13299
-1.17450 0.13707
-1.07383 0.14096
-0.97315 0.14463
-0.87248 0.14805
-0.77181 0.15121
-0.67114 0.15407
-0.57047 0.15661
-0.46980 0.15882
-0.36913 0.16067
-0.26846 0.16216
-0.16779 0.16326
-0.06711 0.16398
0.03356 0.16430
0.13423 0.16423
0.23490 0.16376
0.33557 0.16290
0.43624 0.16166
0.53691 0.16004
0.63758 0.15807
0.73826 0.15576
0.83893 0.15312
0.93960 0.15019
1.04027 0.14698
1.14094 0.14352
1.24161 0.13983
1.34228 0.13595
1.44295 0.13191
1.54362 0.12772
1.64430 0.12342
1.74497 0.11904
1.84564 0.11460
1.94631 0.11013
2.04698 0.10565
2.14765 0.10119
2.24832 0.09677
2.34899 0.09241
2.44966 0.08813
2.55034 0.08393
2.65101 0.07985
2.75168 0.07588
2.85235 0.07204
2.95302 0.06833
3.05369 0.06477
3.15436 0.06135
3.25503 0.05808
3.35570 0.05496
3.45638 0.05199
3.55705 0.04916
3.65772 0.04649
3.75839 0.04395
3.85906 0.04156
3.95973 0.03930
4.06040 0.03717
4.16107 0.03516
4.26174 0.03328
4.36242 0.03150
4.46309 0.02983
4.56376 0.02827
4.66443 0.02680
4.76510 0.02541
4.86577 0.02412
4.96644 0.02290
5.06711 0.02176
5.16779 0.02068
5.26846 0.01967
5.36913 0.01873
5.46980 0.01784
5.57047 0.01700
5.67114 0.01621
5.77181 0.01547
5.87248 0.01478
5.97315 0.01413
6.07383 0.01351
6.17450 0.01293
6.27517 0.01239
6.37584 0.01187
6.47651 0.01139
6.57718 0.01094
6.67785 0.01051
6.77852 0.01011
6.87919 0.00973
6.97987 0.00938
7.08054 0.00904
7.18121 0.00873
7.28188 0.00843
7.38255 0.00816
7.48322 0.00790
7.58389 0.00765
7.68456 0.00742
7.78523 0.00721
7.88591 0.00701
7.98658 0.00682
8.08725 0.00664
8.18792 0.00647
8.28859 0.00631
8.38926 0.00616
8.48993 0.00602
8.59060 0.00589
8.69128 0.00576
8.79195 0.00564
8.89262 0.00553
8.99329 0.00542
9.09396 0.00532
9.19463 0.00522
9.29530 0.00513
9.39597 0.00504
9.49664 0.00495
9.59732 0.00487
9.69799 0.00479
9.79866 0.00472
9.89933 0.00465
10.00000 0.00458
